nome,genero,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
FRANCO CARTAFINA GOMES,M,86 dias,3 dias,3 dias,44 reuniões,15 reuniões,4 reuniões,03/11/1986,"318.135,20","28.065,10","33.009,58","43.304,17","45.119,68","52.088,32","34.699,31","22.247,15","51.692,11","5.409,62","2.332,94",não contabilizados,não contabilizados,33763.0,"318.135,20","110.962,06","110.962,06","110.962,06","110.962,06","111.166,17","111.568,67","111.568,67","111.568,67","111.568,67","111.568,67",não contabilizados,não contabilizados,33763.0,
ANTONIO RIBEIRO,M,86 dias,0 dias,6 dias,30 reuniões,14 reuniões,4 reuniões,03/03/1944,"361.696,70","40.812,78","41.699,11","53.527,13","42.212,73","53.135,08","32.573,14","21.560,81","17.788,85","19.494,29","37.582,25",não contabilizados,não contabilizados,33763.0,"361.696,70","110.889,19","110.889,19","110.889,19","110.313,55","109.560,78","110.047,86","110.889,19","110.889,19","110.889,19","110.889,19",não contabilizados,não contabilizados,33763.0,
GELSON DE AZEVEDO ALMEIDA,M,88 dias,4 dias,0 dias,17 reuniões,13 reuniões,0 reuniões,10/01/1965,"320.500,73","17.208,87","18.142,04","73.589,54","23.955,82","60.671,30","21.380,73","24.088,36","10.719,92","15.215,86","4.613,07",não contabilizados,não contabilizados,33763.0,"320.500,73","111.429,10","111.429,10","111.429,10","111.207,70","111.523,22","111.580,75","111.580,75","111.580,75","111.580,75","109.244,43",não contabilizados,não contabilizados,33763.0,
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,89 dias,3 dias,0 dias,132 reuniões,21 reuniões,0 reuniões,06/08/1954,"219.516,20","17.011,69","44.800,56","44.569,19","22.660,96","25.933,02","28.500,81","13.743,54","9.053,72","5.578,56","7.617,80",não contabilizados,não contabilizados,33763.0,"219.516,20","67.824,41","70.484,71","70.484,71","74.499,52","79.446,76","86.394,48","95.109,95","76.397,80","54.701,66","54.701,66",não contabilizados,não contabilizados,33763.0,
EUGENIO JOSÉ ZULIANI,M,51 dias,24 dias,17 dias,9 reuniões,37 reuniões,17 reuniões,13/01/1976,"286.007,56","35.715,90","40.468,18","42.837,22","40.713,17","63.995,25","18.553,55","16.151,75","15.973,11","2.755,29","8.115,64",não contabilizados,não contabilizados,33763.0,"286.007,56","111.641,38","111.641,38","111.641,38","106.897,30","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18",não contabilizados,não contabilizados,33763.0,
GERVÁSIO AGRIPINO MAIA,M,81 dias,6 dias,5 dias,36 reuniões,14 reuniões,5 reuniões,14/04/1975,"270.049,07","23.330,03","37.075,33","36.581,92","43.748,87","45.588,36","26.193,97","18.498,45","14.012,00","10.194,19","13.781,20",não contabilizados,não contabilizados,33763.0,"270.049,07","111.615,50","110.598,88","110.561,62","110.298,77","109.955,04","109.955,04","110.552,62","111.283,45","110.263,58","110.809,92",não contabilizados,não contabilizados,33763.0,
FERNANDO LÚCIO GIACOBO,M,86 dias,5 dias,1 dias,13 reuniões,7 reuniões,1 reuniões,17/12/1970,"369.972,81","27.455,42","49.074,18","58.575,31","7.832,83","52.242,70","38.497,82","8.820,58","6.333,82","4.309,92","66.740,23",não contabilizados,não contabilizados,33763.0,"369.972,81","110.392,00","111.089,37","110.699,96","111.659,53","111.616,68","104.856,92","111.659,53","110.779,99","111.160,32","102.457,31",não contabilizados,não contabilizados,33763.0,1
GILLIANO FRED NASCIMENTO CUTRIM,M,76 dias,11 dias,5 dias,22 reuniões,27 reuniões,4 reuniões,26/10/1979,"406.001,14","46.898,79","47.176,96","48.122,54","51.226,09","58.582,87","18.377,58","25.986,45","21.934,68","12.653,68","75.041,50",não contabilizados,não contabilizados,33763.0,"406.001,14","111.301,75","111.301,75","111.619,50","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.236,56",não contabilizados,não contabilizados,33763.0,
GILBERTO APARECIDO ABRAMO,M,85 dias,5 dias,2 dias,19 reuniões,6 reuniões,1 reuniões,06/08/1966,"276.601,65","18.146,52","22.003,33","27.404,71","34.209,75","32.718,06","23.558,03","15.039,80","18.280,76","12.603,88","12.846,34",não contabilizados,não contabilizados,33763.0,"276.601,65","106.564,34","106.564,34","107.092,65","108.384,08","108.384,08","108.384,08","107.270,71","108.384,08","108.384,08","108.384,08",não contabilizados,não contabilizados,33763.0,
GILBERTO NASCIMENTO SILVA,M,65 dias,0 dias,27 dias,29 reuniões,9 reuniões,3 reuniões,09/07/1956,"404.619,88","42.667,83","49.626,23","52.149,16","48.827,83","41.954,56","33.307,84","45.287,25","30.344,91","25.638,80","28.819,14",não contabilizados,não contabilizados,33763.0,"404.619,88","110.917,37","111.198,75","111.198,75","111.198,75","106.097,59","109.244,31","100.666,68","106.570,48","106.570,48","103.339,74",não contabilizados,não contabilizados,33763.0,
GILSON MARQUES VIEIRA,M,88 dias,0 dias,4 dias,40 reuniões,5 reuniões,5 reuniões,12/04/1981,"50.883,26","3.483,84","5.736,09","5.095,21","6.494,69","11.767,82","7.335,78","6.816,37","1.383,89","3,11","2.766,46",não contabilizados,não contabilizados,33763.0,"50.883,26","78.079,20","78.079,20","78.079,20","79.784,92","80.772,44","80.772,44","80.772,44","80.772,44","80.772,44","80.772,44",não contabilizados,não contabilizados,33763.0,
DANIEL PIRES COELHO,M,91 dias,1 dias,0 dias,6 reuniões,0 reuniões,0 reuniões,04/11/1978,"360.896,58","56.899,01","47.545,19","51.524,56","44.454,63","36.128,30","30.323,85","32.107,75","22.965,49","20.599,99","18.151,21",não contabilizados,não contabilizados,33763.0,"360.896,58","111.319,00","111.580,81","111.580,81","111.580,81","111.332,51","111.580,82","111.559,70","111.471,69","111.474,71","111.507,06",não contabilizados,não contabilizados,33763.0,
GIOVANI CHERINI,M,86 dias,3 dias,3 dias,40 reuniões,13 reuniões,3 reuniões,23/06/1960,"419.082,83","35.135,42","42.357,46","49.953,41","49.975,70","53.766,31","54.876,19","39.994,44","42.715,35","21.531,51","27.017,18",não contabilizados,não contabilizados,33763.0,"419.082,83","111.574,70","111.574,70","111.574,70","111.574,70","111.574,70","110.520,47","111.205,28","111.574,71","111.574,71","111.574,71",não contabilizados,não contabilizados,33763.0,
GIOVANI BATISTA FELTES,M,91 dias,1 dias,0 dias,18 reuniões,4 reuniões,0 reuniões,10/04/1957,"296.462,55","32.091,85","37.369,29","35.989,03","63.623,79","29.111,39","20.875,74","31.955,95","26.391,45","8.680,69","8.989,17",não contabilizados,não contabilizados,33763.0,"296.462,55","111.083,28","111.101,04","111.544,86","109.378,77","108.521,73","109.627,69","107.747,07","108.089,89","109.075,48","109.075,48",não contabilizados,não contabilizados,33763.0,
DANIEL GOMES DE ALMEIDA,M,90 dias,0 dias,2 dias,38 reuniões,37 reuniões,0 reuniões,21/01/1955,"356.199,86","58.756,35","47.548,42","45.375,86","51.389,18","32.596,32","29.676,29","18.598,64","16.188,74","14.756,90","40.472,41",não contabilizados,não contabilizados,33763.0,"356.199,86","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61","111.659,61",não contabilizados,não contabilizados,33763.0,
DANIEL COSTA DE FREITAS,M,77 dias,15 dias,0 dias,3 reuniões,0 reuniões,0 reuniões,03/04/1982,"305.465,83","38.606,89","24.248,40","43.103,43","47.999,13","45.138,90","30.847,10","32.894,95","25.917,35","4.096,46","12.109,81",não contabilizados,não contabilizados,33763.0,"305.465,83","105.697,03","105.697,03","109.243,35","110.816,55","110.933,95","111.423,11","111.423,11","111.423,11","111.423,11","111.423,11",não contabilizados,não contabilizados,33763.0,
DANIEL LUCIO DA SILVEIRA,M,89 dias,2 dias,1 dias,87 reuniões,58 reuniões,1 reuniões,25/11/1982,"307.400,84","35.637,58","37.560,86","37.098,84","37.913,96","39.709,62","33.297,09","28.745,65","27.784,42","13.563,62","14.939,77",não contabilizados,não contabilizados,33763.0,"307.400,84","104.730,18","106.558,15","108.774,14","109.706,94","105.193,39","103.433,49","86.143,80","107.120,36","107.862,35","111.382,87",não contabilizados,não contabilizados,33763.0,
DANIEL TRZECIAK DUARTE,M,86 dias,0 dias,6 dias,31 reuniões,6 reuniões,8 reuniões,04/11/1986,"214.073,24","9.307,83","15.955,97","16.366,04","39.352,32","18.241,57","20.817,46","28.100,30","16.051,09","16.840,25","32.070,78",não contabilizados,não contabilizados,33763.0,"214.073,24","105.455,53","105.415,99","105.436,13","105.982,05","108.226,36","109.497,39","106.036,48","94.998,83","99.412,79","104.033,76",não contabilizados,não contabilizados,33763.0,
DANILO JORGE DE BARROS CABRAL,M,83 dias,6 dias,3 dias,8 reuniões,22 reuniões,6 reuniões,21/04/1967,"287.464,54","23.243,32","23.195,87","25.003,47","45.722,17","49.445,71","26.152,01","32.469,21","12.877,47","8.866,71","39.648,42",não contabilizados,não contabilizados,33763.0,"287.464,54","95.045,26","95.045,26","94.090,38","98.095,56","99.861,52","99.861,52","100.443,65","100.923,05","111.114,04","111.465,45",não contabilizados,não contabilizados,33763.0,
FRANCISCO DANILO BASTOS FORTE,M,86 dias,3 dias,3 dias,42 reuniões,21 reuniões,2 reuniões,01/09/1958,"399.293,34","67.906,91","48.807,99","40.578,79","52.959,10","80.716,86","57.550,28","22.707,17","9.622,62","6.546,36","11.778,36",não contabilizados,não contabilizados,33763.0,"399.293,34","109.573,04","105.109,88","101.753,78","107.930,59","108.735,93","108.600,66","101.671,79","104.239,59","101.843,93","102.801,40",não contabilizados,não contabilizados,33763.0,
DAVID MICHAEL DOS SANTOS MIRANDA,M,66 dias,11 dias,15 dias,23 reuniões,7 reuniões,4 reuniões,10/05/1985,"242.667,95","35.259,28","43.349,65","32.853,62","45.091,15","29.890,05","33.147,86","10.128,77","8.151,54","-817,25","5.613,28",não contabilizados,não contabilizados,33763.0,"242.667,95","111.544,37","111.544,37","56.799,55","64.345,04","100.004,66","94.914,31","97.663,21","102.324,88","100.368,27","98.332,98",não contabilizados,não contabilizados,33763.0,
DARCI DE MATOS,M,80 dias,10 dias,2 dias,55 reuniões,9 reuniões,3 reuniões,08/11/1961,"269.534,87","27.456,09","37.612,31","41.962,71","38.942,67","42.279,75","18.366,03","26.329,15","14.161,38","1.290,05","20.268,72",não contabilizados,não contabilizados,33763.0,"269.534,87","111.593,97","111.623,31","111.579,26","111.659,67","111.659,67","110.174,35","110.543,76","111.508,04","111.508,04","110.579,75",não contabilizados,não contabilizados,33763.0,
DENIS ANDERSON DA ROCHA BEZERRA,M,88 dias,3 dias,1 dias,70 reuniões,9 reuniões,1 reuniões,17/03/1980,"400.260,91","46.094,78","53.674,69","52.475,51","52.185,85","40.861,85","33.475,40","24.901,37","18.145,39","17.544,23","44.329,57",não contabilizados,não contabilizados,33763.0,"400.260,91","110.743,73","108.800,92","108.144,99","106.767,55","106.327,19","107.307,01","102.136,31","107.474,82","111.617,19","109.239,78",não contabilizados,não contabilizados,33763.0,
DIEGO LEONARDO DE ANDRADE CARVALHO,M,70 dias,0 dias,22 dias,7 reuniões,9 reuniões,11 reuniões,08/08/1977,"217.838,28","28.386,47","32.013,45","32.859,73","17.554,55","41.393,91","15.224,17","22.079,82","8.663,35","11.458,92","8.203,91",não contabilizados,não contabilizados,33763.0,"217.838,28","111.580,82","111.580,82","111.580,82","111.580,82","111.580,82","111.535,53","111.241,15","110.635,35","109.154,50","109.154,50",não contabilizados,não contabilizados,33763.0,
MARCELO EDUARDO FREITAS,M,80 dias,6 dias,6 dias,66 reuniões,1 reuniões,1 reuniões,04/03/1976,"290.526,28","31.421,05","43.796,10","37.148,52","24.745,40","39.348,34","29.355,58","26.303,93","19.417,00","19.550,28","18.633,84",não contabilizados,não contabilizados,33763.0,"290.526,28","104.088,18","105.813,10","103.290,21","102.664,07","110.724,59","111.483,80","111.483,80","107.272,97","107.289,51","103.558,73",não contabilizados,não contabilizados,33763.0,
PABLO OLIVA SOUZA,M,78 dias,14 dias,0 dias,112 reuniões,30 reuniões,0 reuniões,26/07/1976,"369.191,63","28.267,00","51.491,99","65.512,79","64.732,08","41.341,87","31.189,75","32.398,76","26.832,20","17.440,00","7.823,37",não contabilizados,não contabilizados,33763.0,"369.191,63","99.985,47","73.344,51","92.308,59","99.950,28","106.315,17","106.987,85","101.323,39","101.342,41","107.310,62","89.036,79",não contabilizados,não contabilizados,33763.0,
ANTÔNIO DA LUZ FURTADO,M,90 dias,1 dias,1 dias,73 reuniões,19 reuniões,6 reuniões,06/01/1972,"288.816,41","34.263,89","43.088,49","42.959,20","32.920,98","47.359,21","16.303,12","19.852,22","12.243,23","8.092,66","27.244,72",não contabilizados,não contabilizados,33763.0,"288.816,41","110.967,56","111.125,87","111.617,20","111.617,20","111.617,20","111.623,07","111.653,61","111.653,61","111.653,61","111.653,61",não contabilizados,não contabilizados,33763.0,
DIMAS FABIANO TOLEDO JÚNIOR,M,86 dias,1 dias,5 dias,18 reuniões,1 reuniões,3 reuniões,23/05/1973,"283.523,77","30.575,40","29.897,78","36.489,01","37.782,58","34.645,39","23.877,46","33.775,98","26.291,36","16.347,48","12.634,33",não contabilizados,não contabilizados,33763.0,"283.523,77","92.717,74","90.647,71","88.844,00","89.894,36","93.796,44","94.254,41","100.197,24","96.972,36","108.044,05","109.918,79",não contabilizados,não contabilizados,33763.0,
WALDIR SOARES DE OLIVEIRA,M,86 dias,0 dias,6 dias,7 reuniões,44 reuniões,5 reuniões,28/11/1962,"149.309,65","14.119,59","16.610,96","17.642,50","17.254,73","17.514,69","15.282,52","15.088,53","12.955,79","10.015,33","11.921,51",não contabilizados,não contabilizados,33763.0,"149.309,65","101.978,63","99.618,58","96.319,60","92.534,14","92.534,14","94.998,88","101.543,63","103.436,75","102.749,57","102.015,00",não contabilizados,não contabilizados,33763.0,
EDER MAURO CARDOSO BARRA,M,79 dias,10 dias,3 dias,4 reuniões,12 reuniões,0 reuniões,14/12/1960,"325.195,22","46.351,28","56.697,20","17.871,34","52.514,33","52.104,65","51.446,49","39.019,70","6.514,58","2.675,65","0,00",não contabilizados,não contabilizados,33763.0,"325.195,22","111.587,65","111.029,67","109.774,54","111.611,12","111.611,12","111.168,32","110.779,91","107.856,37","107.856,37","107.856,37",não contabilizados,não contabilizados,33763.0,
DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,89 dias,0 dias,3 dias,134 reuniões,43 reuniões,3 reuniões,10/10/1984,"263.861,19","9.153,29","13.917,88","34.960,78","39.069,90","47.847,45","36.301,69","32.663,59","20.367,53","6.819,55","16.986,39",não contabilizados,não contabilizados,33763.0,"263.861,19","93.054,98","91.310,31","97.522,54","98.459,58","96.593,67","96.173,37","99.859,25","84.300,62","79.772,64","79.111,23",não contabilizados,não contabilizados,33763.0,
DOMINGOS GOMES DE AGUIAR NETO,M,79 dias,7 dias,6 dias,30 reuniões,25 reuniões,6 reuniões,29/04/1988,"346.157,45","33.731,48","52.313,10","36.169,17","53.317,93","77.719,59","22.751,47","19.502,64","3.346,59","2.837,01","44.468,47",não contabilizados,não contabilizados,33763.0,"346.157,45","111.544,43","111.544,43","110.497,19","107.599,23","111.235,68","111.617,24","111.617,24","111.617,24","111.617,24","106.952,23",não contabilizados,não contabilizados,33763.0,
DOMINGOS SÁVIO CAMPOS RESENDE,M,87 dias,2 dias,3 dias,29 reuniões,6 reuniões,1 reuniões,25/03/1957,"311.182,97","24.341,19","52.616,35","44.927,02","32.735,37","48.074,76","26.928,66","27.300,43","24.815,98","18.843,40","9.599,00",não contabilizados,não contabilizados,33763.0,"311.182,97","109.833,82","109.833,82","111.183,95","111.653,56","110.747,01","110.990,37","111.313,88","110.806,11","111.313,88","111.313,88",não contabilizados,não contabilizados,33763.0,
LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,M,67 dias,25 dias,0 dias,14 reuniões,22 reuniões,0 reuniões,15/12/1973,"266.546,32","27.501,17","33.784,37","41.465,77","43.233,68","38.833,58","24.163,31","23.117,56","18.685,19","10.202,91","5.508,98",não contabilizados,não contabilizados,33763.0,"266.546,32","97.653,62","97.653,62","108.819,42","110.434,31","110.434,31","110.434,31","110.434,31","110.413,15","111.647,44","106.463,32",não contabilizados,não contabilizados,33763.0,
FREDERICO DE CASTRO ESCALEIRA,M,83 dias,9 dias,0 dias,24 reuniões,57 reuniões,0 reuniões,24/03/1977,"310.970,98","31.170,62","36.914,75","42.269,93","38.087,59","42.514,00","33.769,22","28.862,16","24.728,50","11.486,99","20.931,45",não contabilizados,não contabilizados,33763.0,"310.970,98","111.212,41","111.201,53","110.944,53","108.641,77","111.313,96","110.772,89","111.313,96","110.891,90","111.313,96","109.219,49",não contabilizados,não contabilizados,33763.0,
LUIZ ALBERTO OVANDO,M,86 dias,1 dias,5 dias,70 reuniões,12 reuniões,0 reuniões,25/09/1949,"353.911,42","40.038,05","41.231,34","52.947,39","46.480,82","47.335,38","30.870,88","29.474,27","27.038,62","21.752,29","13.797,33",não contabilizados,não contabilizados,33763.0,"353.911,42","96.640,72","96.640,72","97.315,81","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62",não contabilizados,não contabilizados,33763.0,
JAZIEL PEREIRA DE SOUSA,M,69 dias,20 dias,3 dias,12 reuniões,26 reuniões,1 reuniões,03/05/1961,"332.318,98","53.231,07","44.873,85","55.545,89","35.428,27","35.377,77","36.517,71","20.837,34","20.773,89","21.505,53","8.227,66",não contabilizados,não contabilizados,33763.0,"332.318,98","111.279,95","111.565,34","111.653,51","111.653,51","111.653,51","111.477,80","111.653,51","111.653,51","111.653,51","111.653,51",não contabilizados,não contabilizados,33763.0,
ÉDIO VIEIRA LOPES,M,71 dias,16 dias,5 dias,18 reuniões,5 reuniões,2 reuniões,04/01/1952,"352.768,46","42.432,81","39.836,40","47.117,63","54.268,93","97.784,62","14.519,68","22.739,81","16.900,14","1.349,74","15.390,97",não contabilizados,não contabilizados,33763.0,"352.768,46","110.495,02","110.495,02","111.469,88","111.408,97","111.368,53","111.370,96","111.441,31","111.441,31","111.441,31","108.907,52",não contabilizados,não contabilizados,33763.0,
ZACARIAS CALIL HAMU,M,82 dias,0 dias,10 dias,85 reuniões,27 reuniões,8 reuniões,05/11/1953,"227.743,53","25.614,66","32.870,88","33.504,56","32.975,66","32.600,29","18.394,14","17.770,75","7.364,25","5.479,94","20.331,91",não contabilizados,não contabilizados,33763.0,"227.743,53","83.672,50","77.891,18","81.413,26","83.956,98","83.956,98","83.754,79","77.891,18","77.891,18","77.891,18","77.891,18",não contabilizados,não contabilizados,33763.0,
EDUARDO HENRIQUE MAIA BISMARCK,M,81 dias,0 dias,11 dias,72 reuniões,9 reuniões,7 reuniões,14/11/1981,"387.671,83","42.771,78","48.433,07","53.046,89","40.615,87","53.171,37","35.061,57","49.986,03","24.512,53","5.591,91","32.141,23",não contabilizados,não contabilizados,33763.0,"387.671,83","108.439,60","100.116,32","102.925,37","105.453,61","109.885,00","110.998,37","110.998,37","110.998,37","110.998,37","110.998,37",não contabilizados,não contabilizados,33763.0,1
EDILAZIO GOMES DA SILVA JUNIOR,M,87 dias,0 dias,5 dias,12 reuniões,0 reuniões,1 reuniões,04/05/1981,"274.890,22","29.645,70","67.991,37","21.709,65","54.054,00","19.692,50","28.378,82","18.023,27","5.308,77","14.235,23","15.850,91",não contabilizados,não contabilizados,33763.0,"274.890,22","111.402,54","111.185,22","111.659,65","111.166,30","111.659,65","111.659,65","111.659,65","110.963,46","111.241,12","111.310,78",não contabilizados,não contabilizados,33763.0,
EDUARDO LUIZ BARROS BARBOSA,M,92 dias,0 dias,0 dias,91 reuniões,17 reuniões,0 reuniões,25/08/1958,"247.845,06","22.913,32","25.992,80","30.951,65","37.263,00","34.686,06","29.255,32","23.832,28","9.244,83","5.608,98","27.466,51",não contabilizados,não contabilizados,33763.0,"247.845,06","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.485,04",não contabilizados,não contabilizados,33763.0,
JOSE EDUARDO PEREIRA DA COSTA,M,83 dias,0 dias,9 dias,10 reuniões,9 reuniões,6 reuniões,16/02/1968,"333.478,23","37.602,77","29.483,97","45.130,56","42.628,52","64.988,16","22.063,45","21.894,85","13.694,30","16.136,05","37.509,90",não contabilizados,não contabilizados,33763.0,"333.478,23","111.313,96","111.313,96","111.421,78","111.429,22","111.429,22","111.429,22","111.429,22","110.376,50","111.374,63","110.511,03",não contabilizados,não contabilizados,33763.0,
EDUARDO NANTES BOLSONARO,M,76 dias,2 dias,14 dias,27 reuniões,12 reuniões,6 reuniões,10/07/1984,"290.688,80","19.129,11","45.801,56","20.862,74","34.033,24","20.812,35","36.151,56","54.678,40","29.120,22","20.452,30","9.195,67",não contabilizados,não contabilizados,33763.0,"290.688,80","111.598,86","111.533,88","111.447,23","111.308,14","109.360,58","109.301,13","107.577,22","107.577,22","108.466,86","110.003,51",não contabilizados,não contabilizados,33763.0,1
LEONARDO RIBEIRO ALBUQUERQUE,M,91 dias,1 dias,0 dias,27 reuniões,2 reuniões,1 reuniões,14/06/1978,"319.714,69","42.371,40","36.053,31","44.978,86","51.992,40","41.703,89","36.956,95","29.525,44","11.128,25","9.478,35","15.240,77",não contabilizados,não contabilizados,33763.0,"319.714,69","99.981,22","100.959,57","99.231,78","108.961,58","104.982,41","110.759,92","111.287,34","105.356,57","102.212,41","103.517,24",não contabilizados,não contabilizados,33763.0,
